Date,Bitcoin,DXY,Gold_ETF,TBond_20Y,SP500,Nasdaq100,VIX
1996-12-31,,88.18000030517578,,,740.739990234375,821.3599853515625,20.920000076293945
1997-01-31,,93.04000091552734,,,786.1599731445312,921.5499877929688,19.469999313354492
1997-02-28,,94.88999938964844,,,790.8200073242188,850.4600219726562,21.100000381469727
1997-03-31,,94.72000122070312,,,757.1199951171875,797.0599975585938,22.13999938964844
1997-04-30,,97.18000030517578,,,801.3400268554688,874.739990234375,20.059999465942383
1997-05-31,,94.8499984741211,,,848.280029296875,958.8499755859376,19.190000534057617
1997-06-30,,95.66999816894533,,,885.1400146484375,957.2999877929688,21.530000686645508
1997-07-31,,99.63999938964844,,,954.3099975585938,1107.030029296875,21.479999542236328
1997-08-31,,99.0,,,899.469970703125,1074.050048828125,24.760000228881836
1997-09-30,,97.11000061035156,,,947.280029296875,1097.1600341796875,22.90999984741211
1997-10-31,,95.63999938964844,,,914.6199951171876,1019.6199951171876,35.09000015258789
1997-11-30,,97.79000091552734,,,955.4000244140624,1050.510009765625,27.43000030517578
1997-12-31,,99.6500015258789,,,970.4299926757812,990.8300170898438,24.010000228881836
1998-01-31,,100.79000091552734,,,980.280029296875,1071.1300048828125,21.469999313354492
1998-02-28,,99.81999969482422,,,1049.3399658203125,1194.1300048828125,18.549999237060547
1998-03-31,,101.5,,,1101.75,1220.6600341796875,24.219999313354492
1998-04-30,,99.70999908447266,,,1111.75,1248.1199951171875,21.18000030517578
1998-05-31,,100.4499969482422,,,1090.8199462890625,1192.0699462890625,21.31999969482422
1998-06-30,,101.16999816894533,,,1133.8399658203125,1337.3399658203125,19.709999084472656
1998-07-31,,101.1999969482422,,,1120.6700439453125,1377.260009765625,24.799999237060547
1998-08-31,,100.1999969482422,,,957.280029296875,1140.3399658203125,44.279998779296875
1998-09-30,,96.16999816894533,,,1017.010009765625,1345.47998046875,40.95000076293945
1998-10-31,,93.7300033569336,,,1098.6700439453125,1400.52001953125,28.049999237060547
1998-11-30,,96.1999969482422,,,1163.6300048828125,1557.9599609375,26.010000228881836
1998-12-31,,94.16999816894533,,,1229.22998046875,1836.010009765625,24.420000076293945
1999-01-31,,96.08000183105467,,,1279.6400146484375,2127.18994140625,26.25
1999-02-28,,98.68000030517578,,,1238.3299560546875,1925.280029296875,27.8799991607666
1999-03-31,,100.0999984741211,,,1286.3699951171875,2106.389892578125,23.260000228881836
1999-04-30,,101.0,,,1335.1800537109375,2136.389892578125,25.06999969482422
1999-05-31,,102.51000213623048,,,1301.8399658203125,2089.699951171875,25.38999938964844
1999-06-30,,102.8499984741211,,,1372.7099609375,2296.77001953125,21.09000015258789
1999-07-31,,99.75,,,1328.719970703125,2270.929931640625,24.63999938964844
1999-08-31,,99.9499969482422,,,1320.4100341796875,2396.8701171875,24.450000762939453
1999-09-30,,98.54000091552734,,,1282.7099609375,2407.89990234375,25.40999984741211
1999-10-31,,99.05999755859376,,,1362.9300537109375,2637.43994140625,22.200000762939453
1999-11-30,,101.98999786376952,,,1388.9100341796875,2966.7099609375,24.18000030517578
1999-12-31,,101.87000274658205,,,1469.25,3707.830078125,24.63999938964844
2000-01-31,,105.12999725341795,,,1394.4599609375,3570.050048828125,24.950000762939453
2000-02-29,,105.91999816894533,,,1366.4200439453125,4266.93994140625,23.3700008392334
2000-03-31,,105.44000244140624,,,1498.5799560546875,4397.83984375,24.11000061035156
2000-04-30,,110.13999938964844,,,1452.4300537109375,3773.179931640625,26.200000762939453
2000-05-31,,108.73999786376952,,,1420.5999755859375,3324.080078125,23.649999618530273
2000-06-30,,106.83999633789062,,,1454.5999755859375,3763.7900390625,19.540000915527344
2000-07-31,,109.56999969482422,,,1430.8299560546875,3609.35009765625,20.739999771118164
2000-08-31,,112.5999984741211,,,1517.6800537109375,4077.590087890625,16.84000015258789
2000-09-30,,113.25,,,1436.510009765625,3570.610107421875,20.56999969482422
2000-10-31,,116.6500015258789,,,1429.4000244140625,3282.300048828125,23.6299991607666
2000-11-30,,115.23999786376952,,,1314.949951171875,2506.5400390625,29.649999618530273
2000-12-31,,109.55999755859376,,,1320.280029296875,2341.699951171875,26.850000381469727
2001-01-31,,110.5199966430664,,,1366.010009765625,2593.0,22.020000457763672
2001-02-28,,112.01000213623048,,,1239.93994140625,1908.3199462890625,28.350000381469727
2001-03-31,,117.37000274658205,,,1160.3299560546875,1573.25,28.63999938964844
2001-04-30,,115.8499984741211,,,1249.4599609375,1855.1500244140625,25.479999542236328
2001-05-31,,119.06999969482422,,,1255.8199462890625,1799.8900146484375,22.63999938964844
2001-06-30,,119.43000030517578,,,1224.3800048828125,1830.18994140625,19.059999465942383
2001-07-31,,117.18000030517578,,,1211.22998046875,1683.6099853515625,21.6200008392334
2001-08-31,,113.41999816894533,,,1133.5799560546875,1469.699951171875,24.920000076293945
2001-09-30,,113.4800033569336,,,1040.93994140625,1168.3699951171875,31.93000030517578
2001-10-31,,114.86000061035156,,,1059.780029296875,1364.780029296875,33.560001373291016
2001-11-30,,116.12999725341795,,,1139.449951171875,1596.050048828125,23.84000015258789
2001-12-31,,116.75,,,1148.0799560546875,1577.050048828125,23.799999237060547
2002-01-31,,120.23999786376952,,,1130.199951171875,1550.1700439453125,21.09000015258789
2002-02-28,,119.16000366210938,,,1106.72998046875,1359.219970703125,21.59000015258789
2002-03-31,,118.62000274658205,,,1147.3900146484375,1452.81005859375,17.399999618530273
2002-04-30,,115.19000244140624,,,1076.9200439453125,1277.0699462890625,21.90999984741211
2002-05-31,,111.80999755859376,,,1067.1400146484375,1208.3399658203125,19.979999542236328
2002-06-30,,106.11000061035156,,,989.8200073242188,1051.4100341796875,25.399999618530273
2002-07-31,,107.41000366210938,,36.5568962097168,911.6199951171876,962.0999755859376,32.029998779296875
2002-08-31,,106.9800033569336,,38.57233047485352,916.0700073242188,942.3800048828124,32.63999938964844
2002-09-30,,106.87000274658205,,40.21519088745117,815.280029296875,832.52001953125,39.689998626708984
2002-10-31,,106.63999938964844,,38.72951889038086,885.760009765625,989.5399780273438,31.13999938964844
2002-11-30,,106.41000366210938,,38.37466812133789,936.3099975585938,1116.0999755859375,27.5
2002-12-31,,101.8499984741211,,40.11128616333008,879.8200073242188,984.3699951171876,28.6200008392334
2003-01-31,,99.91000366210938,,39.88032531738281,855.7000122070312,983.0499877929688,31.170000076293945
2003-02-28,,99.70999908447266,,41.115604400634766,841.1500244140625,1009.739990234375,29.6299991607666
2003-03-31,,99.05999755859376,,40.554473876953125,848.1799926757812,1018.6599731445312,29.149999618530273
2003-04-30,,97.19000244140624,,40.97957992553711,916.9199829101562,1106.06005859375,21.209999084472656
2003-05-31,,93.2699966430664,,43.5693473815918,963.5900268554688,1197.8900146484375,19.469999313354492
2003-06-30,,94.7300033569336,,42.782169342041016,974.5,1201.68994140625,19.520000457763672
2003-07-31,,96.88999938964844,,38.51214218139648,990.3099975585938,1276.93994140625,19.489999771118164
2003-08-31,,98.0999984741211,,39.014923095703125,1008.010009765625,1341.199951171875,18.6299991607666
2003-09-30,,92.8499984741211,,41.33024597167969,995.969970703125,1303.699951171875,22.719999313354492
2003-10-31,,92.7300033569336,,40.077415466308594,1050.7099609375,1416.3900146484375,16.100000381469727
2003-11-30,,90.20999908447266,,40.21345520019531,1058.199951171875,1424.25,16.31999969482422
2003-12-31,,86.91999816894531,,40.75367736816406,1111.9200439453125,1467.9200439453125,18.309999465942383
2004-01-31,,87.19999694824219,,41.51201248168945,1131.1300048828125,1493.0799560546875,16.6299991607666
2004-02-29,,87.30999755859375,,42.459259033203125,1144.93994140625,1470.3800048828125,14.550000190734863
2004-03-31,,87.61000061035156,,43.05840301513672,1126.2099609375,1438.4100341796875,16.739999771118164
2004-04-30,,90.4800033569336,,40.373565673828125,1107.300048828125,1401.3599853515625,17.190000534057617
2004-05-31,,88.94999694824219,,40.2693977355957,1120.6800537109375,1466.219970703125,15.5
2004-06-30,,88.80000305175781,,40.69356918334961,1140.8399658203125,1516.6400146484375,14.34000015258789
2004-07-31,,89.95999908447266,,41.31682205200195,1101.719970703125,1400.3900146484375,15.31999969482422
2004-08-31,,88.94000244140625,,43.0379753112793,1104.239990234375,1368.6800537109375,15.289999961853027
2004-09-30,,87.36000061035156,,43.446590423583984,1114.5799560546875,1412.739990234375,13.34000015258789
2004-10-31,,84.91000366210938,,44.21333312988281,1130.199951171875,1486.719970703125,16.270000457763672
2004-11-30,,81.81999969482422,45.119998931884766,43.15407180786133,1173.8199462890625,1571.5,13.239999771118164
2004-12-31,,80.8499984741211,43.79999923706055,44.301422119140625,1211.9200439453125,1621.1199951171875,13.289999961853027
2005-01-31,,83.5999984741211,42.220001220703125,45.882362365722656,1181.27001953125,1519.6300048828125,12.81999969482422
2005-02-28,,82.51000213623047,43.529998779296875,45.20695877075195,1203.5999755859375,1511.02001953125,12.079999923706056
2005-03-31,,84.05999755859375,42.81999969482422,45.00138473510742,1180.5899658203125,1482.530029296875,14.020000457763672
2005-04-30,,84.43000030517578,43.349998474121094,46.74078750610352,1156.8499755859375,1420.7900390625,15.3100004196167
