,pce_yoy
1994-01-31,1.977243051669464
1994-02-28,2.059631532384487
1994-03-31,2.1313176685614943
1994-04-30,1.980442741723687
1994-05-31,1.8141776908505711
1994-06-30,2.0275575398352785
1994-07-31,2.185708357029758
1994-08-31,2.2464324075494924
1994-09-30,2.2532879610043244
1994-10-31,2.1056491908989505
1994-11-30,2.106242469534969
1994-12-31,2.148455368851221
1995-01-31,2.3215047862935156
1995-02-28,2.265952916844083
1995-03-31,2.173286622078652
1995-04-30,2.320684692872832
1995-05-31,2.3294156796902055
1995-06-30,2.1804080154514516
1995-07-31,1.9870338893819504
1995-08-31,1.9719662634690935
1995-09-30,1.929303831624396
1995-10-31,2.0203229523652944
1995-11-30,1.8238035490231177
1995-12-31,1.9539938200653808
1996-01-31,1.973870424717328
1996-02-29,1.95401956993726
1996-03-31,2.0736232744544836
1996-04-30,2.1111226257272797
1996-05-31,2.1300498144890767
1996-06-30,2.0290325915205853
1996-07-31,2.11645674168901
1996-08-31,1.9941720138929808
1996-09-30,2.211927347599074
1996-10-31,2.2560912998195626
1996-11-30,2.44099223987444
1996-12-31,2.3631039531478937
1997-01-31,2.2687430608309356
1997-02-28,2.320595099183187
1997-03-31,2.120203004348009
1997-04-30,1.9152421962217003
1997-05-31,1.6933943148266015
1997-06-30,1.8251291774616265
1997-07-31,1.6710718257579191
1997-08-31,1.6550510078928935
1997-09-30,1.6129728485302142
1997-10-31,1.4388386004676512
1997-11-30,1.2644451763492937
1997-12-31,1.1256686786623504
1998-01-31,1.0442111277765953
1998-02-28,0.7811720431640357
1998-03-31,0.6906372374510417
1998-04-30,0.7169886476797505
1998-05-31,0.9009137229227582
1998-06-30,0.6865476461223485
1998-07-31,0.8750745802199145
1998-08-31,0.9339957416607536
1998-09-30,0.6329651656754365
1998-10-31,0.7226496209978395
1998-11-30,0.7211946377057687
1998-12-31,0.8444010692918225
1999-01-31,0.9358742365980444
1999-02-28,0.932120680631976
1999-03-31,0.9927874416631566
1999-04-30,1.3545580383626632
1999-05-31,1.2821778686790353
1999-06-30,1.3990259052728105
1999-07-31,1.4181101253344377
1999-08-31,1.4625639871744367
1999-09-30,1.885544626901381
1999-10-31,1.8336773233365689
1999-11-30,1.920646954763705
1999-12-31,2.0547560941400977
2000-01-31,2.1891369506148672
2000-02-29,2.5687379130580945
2000-03-31,2.930879964151667
2000-04-30,2.3509901473026895
2000-05-31,2.368948805080495
2000-06-30,2.684264750925869
2000-07-31,2.668814307732892
2000-08-31,2.475467095414974
2000-09-30,2.5480961785462775
2000-10-31,2.5148561265149194
2000-11-30,2.5663277956855968
2000-12-31,2.4847793521432404
2001-01-31,2.701443236797751
2001-02-28,2.537197196376595
2001-03-31,2.1087000884293827
2001-04-30,2.373236751810892
2001-05-31,2.5576491395143286
2001-06-30,2.3917346855763633
2001-07-31,2.1017325092305805
2001-08-31,2.0964644142072553
2001-09-30,1.3130959435436296
2001-10-31,1.531881699460702
2001-11-30,1.321568153430852
2001-12-31,1.0620750693969505
2002-01-31,0.6659371163187933
2002-02-28,0.679565078349853
2002-03-31,0.9433082406235416
2002-04-30,1.1877053213986466
2002-05-31,0.9882602639782244
2002-06-30,0.9362006409068035
2002-07-31,1.1921635118487872
2002-08-31,1.402946319749887
2002-09-30,1.9328166748640685
2002-10-31,1.7604514385630263
2002-11-30,1.9299850214074656
2002-12-31,2.13367302257077
2003-01-31,2.3465153584070197
2003-02-28,2.6046216151830226
2003-03-31,2.589654580732015
2003-04-30,1.9886961093585676
2003-05-31,1.8048075660055396
2003-06-30,1.788127254837657
2003-07-31,1.8627361145654664
2003-08-31,2.0067151797029004
2003-09-30,2.141338793182146
2003-10-31,1.9682118170812668
2003-11-30,1.996176703902619
2003-12-31,2.122877447350291
2004-01-31,2.212406575044379
2004-02-29,2.000619147124838
2004-03-31,1.8964297201672584
2004-04-30,2.259224414573469
2004-05-31,2.709537572254317
2004-06-30,2.890910965613247
2004-07-31,2.684537884239746
2004-08-31,2.391167919671111
2004-09-30,2.2739169847937557
2004-10-31,2.700011489410592
2004-11-30,2.9656262749897966
2004-12-31,2.7937154125055708
2005-01-31,2.53203056685547
2005-02-28,2.598732880610055
2005-03-31,2.747509438250484
2005-04-30,2.844503818718014
2005-05-31,2.5689663835988252
2005-06-30,2.3411957760769653
2005-07-31,2.679431825292533
2005-08-31,3.0408025417156592
2005-09-30,3.8300209727354377
2005-10-31,3.551362370723954
2005-11-30,2.938408578716656
2005-12-31,2.8836276778752667
2006-01-31,3.246937842213904
2006-02-28,3.0222353695212645
2006-03-31,2.9136712749615823
2006-04-30,3.102827101944805
2006-05-31,3.321534862643749
2006-06-30,3.511627906976744
2006-07-31,3.4273456353752785
2006-08-31,3.335882588586636
2006-09-30,2.0800269321406217
2006-10-31,1.67697016985775
2006-11-30,1.9246731063020883
2006-12-31,2.2867522344251823
2007-01-31,2.133263102449301
2007-02-28,2.389213246554367
2007-03-31,2.564898622023759
2007-04-30,2.3307779164438047
2007-05-31,2.352983013477794
2007-06-30,2.3176341212501006
2007-07-31,2.1247260128685497
2007-08-31,1.873715124816444
2007-09-30,2.534687050952855
2007-10-31,3.08847488843238
2007-11-30,3.5996270550330056
2007-12-31,3.471634208298058
2008-01-31,3.387406817009708
2008-02-29,3.2729227281756534
2008-03-31,3.1911425710759778
2008-04-30,3.13951867682587
2008-05-31,3.282143932550441
2008-06-30,3.8114389395462744
